Protein
A0A023PXF5|Q3E7Y4
A0A0S2Z4P6|B2R8L3|B7Z3H4|Q68DS0|Q9Y297
A0A0S2Z4R4|O14964
A0A0S2Z4T1|A0A499FHX9|B4DUQ9|P25205
A0A0S2Z4U9|A0A0S2Z4V1|Q9Y6N9
A0A0S2Z4W2|B3KTC3|Q9H2C0
A0A0S2Z4Z8|O43353
A0A0S2Z577|B7Z1N4|F5H008|Q9H267
A0A0S2Z5A2|A0A0S2Z5B0|Q53F53|Q8WXF7
A0A0S2Z5C2|A0A0S2Z5G4|A0A0S2Z5M2|B3KM38|B4DE54|Q8N9N5|Q9NSS6
A0A0S2Z5F2|Q14749|V9HW60
A0A0S2Z5F5|A0A0S2Z5F9|A0A0S2Z5K4|Q8N6G5
A0A0S2Z5K9|A0A0S2Z5S7|A0A0S2Z5T5|A0A3B3IU65|A9UHW6
A0A0S2Z5P3|O43586
A0A0S2Z5P5|Q9BTE3
A0A0S2Z5S4|Q969G2
A0A0S2Z5X1|Q96DA6
A0A0S2Z634|A0A0S2Z6U5|O95045
A0A0S2Z658|B7Z7H3|Q969J2
A0A125SXW3|A8KAF4|G4XH65|H0Y4W6|P03372|Q9UBT1
A0A140T8J8|A0A1B0GRA7|A0A1B0GRB5|A0A1B0GSX7|B2RQL0|Q3TPG3|Q3UJE5|Q4FZE7|Q6PFD9
A0A140VJE8|P63010|Q96EL6
A0A140VJG0|P78396
A0A140VJG2|B7Z2D2|Q8NHQ1
A0A140VJH8|Q9BPX1
A0A140VJK1|O76003
A0A140VJK6|P49915
A0A140VJL3|P00492
A0A140VJP2|Q9NZL9
A0A140VJP5|P31153
A0A140VJS0|P62714
A0A140VJS3|P62195
A0A140VJS9|P62136
A0A140VJV5|Q8NA61
A0A140VJZ1|P45974
A0A140VK13|A0A1B0GTB8|P23786
A0A140VK37|P24666|Q59EH3
A0A140VK39|Q9Y570
A0A140VK49|Q7KZF4
A0A140VK53|Q9UQ35
A0A140VK72|P48723
A0A140VK84|Q9HA64
A0A140VKA1|B3KVK0|G3V1Q5|J3KTN9|Q8NA82
A0A140VKE1|Q16851
A0A142FHB8|P43220
A0A178UBX6|Q9FHW7
A0A178UE87|B9DFD0|P35131
A0A178UQK2|A0A1P8BGT9|P94102
A0A178UYS0|P18616
A0A178V4I4|P55034
A0A178V9G9|P92958
A0A178VFA5|Q38997
A0A178VHS8|Q9FR44
A0A178VID5|A0A178VKZ7|F4J6Z1|Q9SVD7
A0A178VKI0|A0A1I9LM75|Q0PCS3
A0A178VPV7|Q9SIF2
A0A178VS17|A0A1P8B0E9|Q38998
A0A178VSR5|Q9ZW35
A0A178VVG9|Q8LB54
A0A178VY31|A0A1P8B2X5|O48726
A0A178W1S4|A8MS55|Q9C7F5
A0A178W3S3|B9DHA6|Q42202
A0A178W4P7|Q8W4M7
A0A178W5Z7|Q9ZVN9
A0A178W6I0|Q944A6
A0A178W7I4|A0A1P8AT16|A0A1P8AT19|A0A384L2B6|F4HZB2
A0A178W9N0|Q9M7Q7
A0A178WAQ1|A0A1P8AND1|Q93YP0
A0A178WBG2|Q9FZK4
A0A178WD95|Q39255
A0A178WFI9|A0A1P8ARI0|A0A2H1ZEG2|Q94A97
A0A178WHV9|Q9LQQ9
A0A178WL92|F4IF83|F4IF85|Q84L33
A0A178WLJ9|A0A178WLU9|Q944H0
A0A178WPE4|O49048
A0A1B0GT81|Q07813|Q544Z6
A0A1D8PIL5
A0A1D8PME6
A0A1K0FUD3|P01966
A0A1L5BXV2|Q96HR9
A0A1L8G0S1|P84233
A0A1L8G0S8|P62799
A0A1L8H157|Q05116
A0A1L8HM97|P70094
A0A1P8ANI1|A0A384LL91|Q0WRM9|Q8LEK2
A0A1P8BB45|Q29Q48|Q2V357|Q84VQ1
A0A1P8BG35|Q8H2D5
A0A1U9X7A6|P46379
A0A1U9X7J2|N0E4C7|P67870
A0A1U9X8D7|P28065
A0A1U9X8R9|P14373
A0A1U9X8S6|O15205
A0A1U9X8V3|O15209
A0A1W1GSK9|B4DXD8|Q92889
A0A1W2PQ51|Q59F66|Q92841
A0A286YDT6|Q3ULA2
A0A2H1ZEA2|Q0WL81
A0A2R8Y4D3|C9JTB0|Q13422|R9R4D9
A0A2R8Y6Q1|Q15813
A0A2R8YFH5|Q15437
A0A2X0TW27|Q13009
A0A310UAJ9|Q6GM86
A0A384KM83|Q0WW73|Q9ZT63
A0A384MDR3|P02792
A0A384MEB7|Q8WW24
A0A384MED8|A8K6K2|P49902
A0A384MEJ3|P31943
A0A384MQX5|Q9UBV8
A0A384MR50|B1AK85|B1AK88|B4DWA6|P47756|Q7L4N0
A0A384MR52|Q9NPC3
A0A384MR55|Q96CN4
A0A384MTR5|B3KRS7|E7ETR0|Q9Y265
A0A384MTW7|P15531
A0A384N5Y3|P11586
A0A384N6C2|P12268
A0A384N6G7|C9JEV6|Q9UJ70
A0A384N6H1|P13639
A0A384N6H6|Q15019
A0A384NL00|P11413
A0A384NL29|G5E9P6|P04179|Q96AM7|Q9UG59
A0A384NL53|P16152
A0A384NPQ2|Q06830
A0A384NPU5|Q15084
A0A384NPW1|A8K8G0|B7Z958|P51858
A0A384P5G6|P38646
A0A3B3IRT3|O60343
A0A3B3IS45|Q8WZ19
A0A3B3ISG5|B3KSB8|P14735
A0A3B3ITD7|A0A3B3ITI2|E5RHC2|Q96HA8
A0A3B3IU20|A4D1L5|P62256
A0A590UJN4|P24928
A0A590UJT6|Q2TAC2
A0AVT1|A1LT96
A0JP07|Q9H0B3
A0MNP4|D6RDC7|Q9ERF3
A0PJA6|P02787|Q06AH7
A1A4R1
A1L1M0
A2P2R3
A3RJH1|Q92499
A4D0Z4|Q96CN9
A4D2J9|B7Z1Z6|Q13554
A4LAA3|B4DLW1|P46100
A5YKK6
A5Z2X5
A6QNX4|P05131
A7E2D6|Q8IVL1
A7REI1|P14136
A8K031|O14777
A8K3B9|Q16799
A8K503|B0QYN7|P63279
A8K6K1|O75150
A8K6K3|Q15750
A8K6M0|B7Z456|Q9NZ52
A8K7I0|B7Z8N6|P49760
A8K7Q1|Q02818
A8K7W3|B4DYC6|Q9Y2Z0
A8K8B8|Q96Q35
A8K8G6|J3KR69|Q53G14|Q9H892
A8K9T9|O15067|Q6P4B4
A8K9W7|P78347|Q499G6|X5D2J9|X5D939|X5DNP5|X5DR09
A8MTU8|B3KR77|P36956
A8MWR8|P55735
B0AZM9|Q9P286
B0QYL9|P61218
B1AMS2|Q14141|Q541S4|Q548C9
B1AMU3|Q9Y3B2
B2R4R0|P62805
B2R5T5|P10644
B2R9B8|Q96GY0
B2R9R2|P98170
B2R9W4|P43361
B2RA15|Q9H160
B2RA75|Q96BA8
B2RAR6|D3DWK1|P29692
B2RCV0|Q9NS73
B2RDW1|D6W5C9|P62979
B2RTQ2|Q9UPU7
B3KM54|Q66K14|Q9BW24
B3KM80|P19338
B3KM81|Q53G26|Q59E88|Q96EY1
B3KNS9|P15622
B3KPA1|O14656
B3KPA6|P49748
B3KQ57|F6S232|Q5VZT6|Q8IYX7
B3KQ70|Q8NEH6
B3KQ74|J3KPQ4|Q9BRR9
B3KQL5|Q5RGS4|Q9HB21
B3KQX0|Q9NTW7
B3KR20|Q8NDN9
B3KR28|E9PNS3|F2Z2Y8|Q6FIE9|Q8N8J5|Q9H0E2
B3KR97|Q5SW96
B3KRB8|Q9BQC3
B3KRP4|P17036|Q86U76
B3KSH4|B4DIZ2|P61086
B3KSS7|B4DYP3|B7ZAG1|H0Y3L9|Q13191
B3KSW4|H9NIM5|O76081
B3KT61|Q86SE5
B3KTS4|Q5VV41
B3KUJ0|Q15427
B3KUN1|P67775
B3KUV5|Q96FW1
B3KVF5|P19012
B3KVU2|Q9Y4P1
B3KW05|Q96D09
B3KWD0|O14980
B3KWE2|P56945
B3KWG6|O00410|Q9BVS9
B3KXX5|E9PD53|Q58F29|Q9NTJ3
B3KY40|H3BST1|Q9UL45
B4DDF4|B4DUT8|Q99439
B4DER9|P48729|Q6PJ06
B4DFZ5|E9PEX9|O95198
B4DGF8|Q8N684
B4DGV5|E7EPN6|P55347|Q6PKH2|Q96I87
B4DIS3|Q9C005
B4DJ07|B5MCY9|Q63HP7|Q9UPT5
B4DJ51|P0DP23|P0DP24|P0DP25
B4DJC7|O75569
B4DK06|B7ZAC0|Q05193
B4DKI8|Q9Y3Q8
B4DKR0|Q13190
B4DL80|G5EA36|P30260
B4DL97|B7WPE2|Q32P44
B4DMG1|Q9NP66
B4DMJ5|B4DQN9|B4DY90|P07437|Q5ST81|Q5SU16
B4DP31|Q14558
B4DP61|E7EQZ4|Q16637
B4DP66|Q9BRK4
B4DP81|Q8TAP6
B4DS37|O14976
B4DT73|E7EPP6|O14757
B4DUF9|Q9UJU6
B4DUQ1|P61978
B4DUV7|Q9H6J7
B4DV51|P62826
B4DV95|O14733
B4DVE3|B9A6J5|Q96HU1
B4DVJ6|Q8IZD4
B4DWG0|B4E372|O95199|Q59FB7
B4DXG8|Q06265
B4DXR1|Q9UJ83
B4DXW7|O94993
B4DXY4|Q9H9D4
B4DYR6|O00429
B4DZF8|F6WIT2|Q15257
B4DZP6|Q8IYA8
B4DZT2|Q92783
B4E005|Q9GZS1
B4E366|Q9H8R6|Q9NWX6
B4E3T4|D3DSV0|Q93062
B7TZ90|O75865
B7WN91|Q21524
B7Z1G6|Q14680
B7Z1W5|P06746
B7Z240|P42566
B7Z2D6|P0DN79|P35520|Q9NTF0
B7Z2G8|B7Z5Q6|F5GX32|P43351|Q5DR82
B7Z2S5|Q16881
B7Z325|E9PR89|O00141
B7Z425|Q12846
B7Z4W4|P54727
B7Z4Y1|Q9NNX1
B7Z616|B7Z995|Q6L981|Q6L983|Q9Y6H5
B7Z6N0|E9PCH5|E9PDE4|P20810|Q59HE3|Q86YM9
B7Z752|Q14974
B7Z7I2|E5KQF5|E5KQF6|F1D8N4|P04150
B7Z8A0|Q16875
B7Z8H0|Q13415|Q96F82
B7Z9U0|Q9UFF9
B7Z9U8|Q96HP0
B7ZAV2|P35658
B7ZB02|P60891
B7ZB07|Q9Y2D8
B7ZB55|F5H148|Q9NYV6
B7ZKN7|H0YNU5|P54132
B7ZM30|I3L3W6|O94983
B9A6K1|Q92609
C9IZU8|C9J9T0|Q96AT9
C9J5X1|P08069
C9JES0|H7BXH9|Q8WXB1
D0PNI1|P63104
D3DNQ1|Q99442
D3DPQ1|F8W7Q7|Q96BR9
D3DT41|Q01658|Q658N3
D3DW56|Q96S82
D3YUA8|Q8VBV4
D3YZ62|D3Z4J3|Q99104
D6R938|E9PBG7|E9PF82|Q13557
D6RBV5|Q5U5X0
D6VPM8
D6VTK4
D6W196
D6W4Y7|Q02363|Q53T66
E1BJK2
E2J6M5|E2J6M6|Q8NF50
E7EQR6|P17987
E7EWM3|Q8NF64
E9KL23|P01009
E9KL35|P63244
E9PFE2|Q9UHL9
E9PHR9|Q9NRQ2
E9PLX9|Q05D60
E9Q3B9|O35678|Q3UFN1
F1LN88|P11884
F1LS98
F1N2M5
F2Z4C1
F2Z4J1
F4I615|Q9FZ48
F4JJ27|F4JJ28|Q94FB9
F5GWI9|F5GZ97|Q9Y3C0
F5H1T4|J3QLU9|P04626|X5DNK3
F6U4U2|P51955
F7D4V9
G0Z2K0|Q969H0|S4R3U4
G3MTX3|P34314|Q2XN10
G3N131
G3V1B8|O60232
G3V1S4|Q4FZ45|Q66K47|Q9Y324
G3V1T9|J3KPD3|Q9Y580
G3V2K3|P24278
G3V438|O95433
G5E962|P43364
H0UI06|P14406
H0YL66|Q86WT6
H3BQB0|H3BRQ0|H3BSE3|H3BU63|Q96CD2
H3BT65|Q6FI81
H6UYS5|P37840
I2HB52
I2HB70
I3L288|I3NI23|Q96B96
I4AY87|P14174
I6L9A0|Q96MA1
I6L9H2|P26358|Q59FP7
I6LPK7|Q07812|Q5ZPJ0|Q5ZPJ1
J3KQA9|Q5JR59
J3QSY4|Q9NX24
K4DI93|Q13620
K9JA46|P07900|Q86SX1
L7RSM7|P17252|Q7Z727
L7RXH5|P27361|Q9BWJ1
L7UYB8|P07359
M9NDP1|Q24117
M9PD16|Q9NK54
O00444
O00463
O00629
O13297
O13329
O13511
O13512
O13516
O13525
O13527
O13529
O13535
O13539
O13547
O13556
O13559
O13563
O13565
O13577
O13578
O13585
O13587
O14021
O14160
O14230
O14455
O14464
O14467
O14468
O14641
O14841
O14879|Q5T765
O14933
O15156
O15162
O15265|Q9UPD8
O15294
O35864
O42585
O42871
O43091
O43137
O43143
O43186
O43251
O43281
O43318
O43379
O43396|V9HW51
O43597
O43681
O43765
O43768
O43791
O54929
O55042
O55091
O59678
O59702
O59703
O60200
O60238|Q6IBV1
O60547
O60566
O60684
O60825
O70481
O74302
O74333
O74700
O74790
O74957
O75012
O75071
O75170
O75369
O75477
O75506
O75525
O75604
O75794
O75807
O75821
O75886
O75936
O76071
O88498
O88831
O88846
O94321
O94446
O94650
O94722
O94742
O94972
O95248
O95273
O95292|Q53XM7
O95751
O95881
O95994|Q4JM46
O95997|Q6IAL9
O96015
O96017
O97303
P00044
P00045
P00127
P00128
P00163
P00175
P00330
P00331
P00358
P00359
P00360
P00390|V9HW90
P00401
P00410
P00420
P00424
P00425
P00427
P00431
P00441|V9HWC9
P00445
P00447
P00498
P00517
P00546
P00549
P00560
P00572
P00635
P00724
P00729
P00812
P00815
P00817
P00830
P00842
P00854
P00856
P00890
P00899
P00912
P00924
P00925
P00927
P00931
P00937
P00942
P00950
P00958
P01094
P01097
P01098
P01100|Q6FG41
P01119
P01120
P01123
P01149
P01375|Q5STB3
P01583
P02263|Q92069
P02281
P02293
P02294
P02381
P02400
P02406
P02407
P02557
P02829
P02992
P03069
P03873
P03874
P03875
P03876
P03877
P03878
P03879
P03881
P03882
P03962
P03965
P04037
P04039
P04046
P04050
P04051
P04076
P04114|Q59HB3|Q7Z7Q0
P04147
P04161
P04173
P04370|Q3UGF3|Q542T4|Q5D096
P04385
P04386
P04387
P04397
P04406|V9HVZ4
P04449
P04456
P04618|Q77YF8
P04650
P04710
P04786
P04792|V9HW43
P04801
P04802
P04803
P04806
P04807
P04817
P04819
P04821
P04840
P04908|Q08AJ9
P04911
P04912
P05030
P05066
P05085
P05106
P05109
P05132
P05150
P05316
P05317
P05318
P05319
P05373
P05374
P05375
P05412
P05453
P05626
P05694
P05707
P05737
P05738
P05739
P05740
P05743
P05744
P05745
P05747
P05748
P05749
P05750
P05755
P05756
P05759
P05787|Q7L4M3
P05986
P06100
P06101
P06102
P06103
P06104
P06105
P06106
P06115
P06168
P06169
P06174
P06182
P06197
P06208
P06242
P06243
P06244
P06245
P06367
P06401
P06536
P06576|V9HW31
P06633
P06634
P06700
P06701
P06702
P06704
P06738
P06773
P06774
P06775
P06776
P06777
P06778
P06779
P06780
P06781
P06782
P06783
P06784
P06785
P06786
P06787
P06838
P06839
P06843
P06844
P06897
P07143
P07149
P07170
P07172
P07195|Q5U077
P07213
P07236
P07244
P07245
P07246
P07248
P07249
P07250
P07251
P07252
P07253
P07255
P07256
P07257
P07258
P07259
P07260
P07261
P07262
P07263
P07264
P07266
P07267
P07269
P07270
P07271
P07272
P07273
P07274
P07275
P07276
P07277
P07278
P07280
P07281
P07283
P07284
P07285
P07286
P07339|V9HWI3
P07342
P07347
P07390
P07560
P07702
P07703
P07806
P07807
P07814
P07834
P07866
P07884
P07910
P07991
P08004
P08018
P08019
P08067
P08153
P08394
P08417
P08425
P08431
P08432
P08456
P08458
P08459
P08463
P08465
P08466
P08468
P08514
P08518
P08521
P08524
P08525
P08536
P08539
P08566
P08593
P08638
P08640
P08678
P08679
P08727
P08964
P09007
P09012
P09032
P09038
P09064
P09119
P09201
P09232
P09368
P09435
P09436
P09440
P09457
P09467|Q2TU34
P09488|X5D932|X5DR03
P09547
P09601|Q6FH11
P09620
P09624
P09733
P09734
P09798
P09880
P09932
P09937
P09938
P09950
P09959
P0A6Y8
P0A731
P0A7B3
P0A7E1
P0A9S5
P0ABN1
P0ACD4
P0AEX9
P0C074
P0C0T4
P0C0V2
P0C0V8
P0C0W1
P0C0W9
P0C0X0
P0C1H3
P0C1Z1
P0C268
P0C269
P0C271
P0C289
P0C2H6
P0C2H7
P0C2H8
P0C2H9
P0C2I2
P0C2I3
P0C2I4
P0C2I5
P0C2I6
P0C2I8
P0C2I9
P0C2J0
P0C2J1
P0C2J3
P0C2J4
P0C2J7
P0C5N3
P0C5R9
P0CD90
P0CD91
P0CD97
P0CD98
P0CD99
P0CE00
P0CE11
P0CE41
P0CE68
P0CE69
P0CE85
P0CF00
P0CF16
P0CF17
P0CF18
P0CF19
P0CF20
P0CG47|Q5U5U6
P0CG48
P0CG63
P0CH28
P0CI66|P0CI67
P0CS90
P0CT04
P0CX61|P0CX62
P0CX90|P0CX91
P0CX99|P0CY00|P0CY01
P0CY11
P0CY13
P10080
P10127
P10174
P10355
P10356
P10363
P10507
P10566
P10591
P10592
P10614
P10622
P10659
P10662
P10663
P10664
P10823
P10834
P10849
P10862
P10863
P10869
P10870
P10961
P10962
P10963
P10964
P11021|V9HWB4
P11075
P11076
P11142|Q53HF2|V9HW22
P11154
P11325
P11353
P11412
P11433
P11484
P11491
P11632
P11633
P11655
P11709
P11710
P11745
P11746
P11747
P11792
P11914
P11927
P11938
P11972
P11978
P11986
P12003
P12004
P12383
P12385
P12611
P12612
P12630
P12683
P12684
P12685
P12686
P12687
P12688
P12689
P12695
P12709
P12753
P12754
P12866
P12868
P12887
P12904
P12931
P12945
P12954
P12962
P13045
P13090
P13099
P13130
P13134
P13181
P13185
P13186
P13188
P13259
P13298
P13365
P13382
P13393
P13433
P13434
P13483
P13517
P13574
P13586
P13587
P13663
P13711
P13712
P13856
P13902
P14020
P14063
P14064
P14065
P14066
P14120
P14126
P14127
P14164
P14180
P14242
P14284
P14291
P14306
P14317
