A,B
P75804,P58034
P75788,P58034
P0A917,P58034
P09148,P58034
P0ABU9,P58034
P77779,P58034
P75728,P58034
P0ADC1,P58034
P10100,P58034
P15047,P58034
P0AEJ2,P58034
P23877,P58034
P23878,P58034
P26266,P58034
P38054,P58034
P77468,P58034
P77249,P58034
P43341,P58034
P77759,P58034
P16919,P58034
P77338,P58034
P77265,P58034
P0ADY1,P58034
P77726,P58034
P0A9J4,P58034
P22939,P58034
P77488,P58034
P0AD70,P58034
Q47536,P58034
P77802,P58034
P37056,P58034
P10441,P58034
P0A722,P58034
P21645,P58034
P0A940,P58034
P60472,P58034
P07822,P58034
P02919,P58034
P33129,P58034
P31663,P58034
P31666,P58034
P0ABH0,P58034
P14900,P58034
P0AEN4,P58034
P0ABQ4,P58034
P31679,P58034
P62623,P58034
P00804,P58034
P58034,P0AFT8
P0ADB4,P0AFT8
P0AFH8,P0AFT8
P39398,P0AFT8
P39396,P0AFT8
P39386,P0AFT8
P69856,P0AFT8
P39357,P0AFT8
P13036,P0AFT8
P15028,P0AFT8
P15030,P0AFT8
P15029,P0AFT8
P39352,P0AFT8
P0ADC6,P0AFT8
P39321,P0AFT8
P0ADE4,P0AFT8
P39314,P0AFT8
P33224,P0AFT8
P39295,P0AFT8
P0ABC3,P0AFT8
P39285,P0AFT8
P39282,P0AFT8
P0A8Q3,P0AFT8
P30845,P0AFT8
P32716,P0AFT8
P0AF52,P0AFT8
P0A7A7,P0AFT8
P32687,P0AFT8
P32681,P0AFT8
P0ACU5,P0AFT8
P0ABT8,P0AFT8
P0AER0,P0AFT8
P0AE85,P0AFT8
P0ADQ2,P0AFT8
P32137,P0AFT8
P76773,P0AFT8
P32135,P0AFT8
P0A6P7,P0AFT8
P21177,P0AFT8
P69425,P0AFT8
P69428,P0AFT8
P0A921,P0AFT8
P27833,P0AFT8
P0AA25,P0AFT8
P0A6U5,P0AFT8
P0ACC7,P0AFT8
P26218,P0AFT8
P31466,P0AFT8
P31462,P0AFT8
P60872,P0AFT8
P31448,P0AFT8
P31440,P0AFT8
P31435,P0AFT8
P0AG24,P0AFT8
P06968,P0AFT8
P0A6I6,P0AFT8
P0AC75,P0AFT8
P25740,P0AFT8
P27127,P0AFT8
P37692,P0AFT8
P67910,P0AFT8
P11290,P0AFT8
P0AFV0,P0AFT8
P37681,P0AFT8
P09053,P0AFT8
P37663,P0AFT8
P37643,P0AFT8
P37636,P0AFT8
P37630,P0AFT8
P37626,P0AFT8
P37621,P0AFT8
P0AEE1,P0AFT8
P10121,P0AFT8
P10907,P0AFT8
P67143,P0AFT8
P07762,P0AFT8
P45804,P0AFT8
P11557,P0AFT8
P0AC00,P0AFT8
P45537,P0AFT8
P13656,P0AFT8
P25960,P0AFT8
P36678,P0AFT8
P45760,P0AFT8
P41442,P0AFT8
P45759,P0AFT8
P45757,P0AFT8
P0ADZ0,P0AFT8
P0AGA2,P0AFT8
P24181,P0AFT8
P24182,P0AFT8
P46481,P0AFT8
P45425,P0AFT8
P45420,P0AFT8
P0ADV9,P0AFT8
P45395,P0AFT8
P0AG48,P0AFT8
P0A7L8,P0AFT8
P24228,P0AFT8
P64599,P0AFT8
P64596,P0AFT8
P42907,P0AFT8
P15373,P0AFT8
P42591,P0AFT8
P42590,P0AFT8
P60782,P0AFT8
P60932,P0AFT8
P02930,P0AFT8
P26647,P0AFT8
P0ABV2,P0AFT8
P0ADS2,P0AFT8
P0A8P8,P0AFT8
Q46798,P0AFT8
P63340,P0AFT8
P63883,P0AFT8
P0A6P9,P0AFT8
P62617,P0AFT8
P07021,P0AFT8
P33644,P0AFT8
P06616,P0AFT8
P24224,P0AFT8
P76578,P0AFT8
P65290,P0AFT8
P24177,P0AFT8
P36548,P0AFT8
P77173,P0AFT8
P45564,P0AFT8
P67729,P0AFT8
O32528,P0AFT8
P0AA49,P0AFT8
P52599,P0AFT8
P77399,P0AFT8
P0A953,P0AFT8
P06996,P0AFT8
P0AFI5,P0AFT8
P76417,P0AFT8
P76398,P0AFT8
P77414,P0AFT8
P71237,P0AFT8
P0ACD2,P0AFT8
P0AC88,P0AFT8
P32056,P0AFT8
P24174,P0AFT8
P77377,P0AFT8
P71243,P0AFT8
P71244,P0AFT8
P37760,P0AFT8
P37744,P0AFT8
P37745,P0AFT8
P37747,P0AFT8
P37750,P0AFT8
P37751,P0AFT8
P76373,P0AFT8
P07363,P0AFT8
P07017,P0AFT8
P24205,P0AFT8
P76269,P0AFT8
P05041,P0AFT8
P0ABD1,P0AFT8
P38055,P0AFT8
P77754,P0AFT8
P77529,P0AFT8
P06611,P0AFT8
P23898,P0AFT8
P76198,P0AFT8
P76197,P0AFT8
P0A9H7,P0AFT8
P37597,P0AFT8
P77389,P0AFT8
Q47706,P0AFT8
P0AFS3,P0AFT8
P69212,P0AFT8
P43531,P0AFT8
P31122,P0AFT8
P76137,P0AFT8
P31826,P0AFT8
P64426,P0AFT8
P77622,P0AFT8
P64451,P0AFT8
P0C7L2,P0AFT8
P77467,P0AFT8
P76078,P0AFT8
P77747,P0AFT8
P77348,P0AFT8
P0AEK4,P0AFT8
P0A6H8,P0AFT8
P0AFH2,P0AFT8
P23843,P0AFT8
P0AFR0,P0AFT8
P61320,P0AFT8
P76010,P0AFT8
P0C960,P0AFT8
P76008,P0AFT8
P75958,P0AFT8
P75957,P0AFT8
P0ADC3,P0AFT8
P75946,P0AFT8
P16869,P0AFT8
P28305,P0AFT8
P0A6A8,P0AFT8
P75933,P0AFT8
P0ACV0,P0AFT8
P0AEA2,P0AFT8
P38683,P0AFT8
P26458,P0AFT8
P26459,P0AFT8
P75870,P0AFT8
P02931,P0AFT8
P22523,P0AFT8
P0AB01,P0AFT8
P04951,P0AFT8
P27300,P0AFT8
P75830,P0AFT8
P60869,P0AFT8
P75810,P0AFT8
P75809,P0AFT8
P0AEY8,P0AFT8
P75792,P0AFT8
P75788,P0AFT8
P0A917,P0AFT8
P75763,P0AFT8
P09147,P0AFT8
P0A6T3,P0AFT8
P45955,P0AFT8
P0A912,P0AFT8
P0A855,P0AFT8
P0ABV6,P0AFT8
P77779,P0AFT8
P10100,P0AFT8
P0AEB2,P0AFT8
P0A8J4,P0AFT8
P37001,P0AFT8
P15047,P0AFT8
P31600,P0AFT8
P09169,P0AFT8
Q47208,P0AFT8
P77328,P0AFT8
P75712,P0AFT8
P77759,P0AFT8
P77400,P0AFT8
P0AE06,P0AFT8
P0ABI8,P0AFT8
P0ABJ3,P0AFT8
P77726,P0AFT8
P0A9J4,P0AFT8
P22939,P0AFT8
P77488,P0AFT8
P0A927,P0AFT8
P0AFY6,P0AFT8
Q47536,P0AFT8
Q47534,P0AFT8
P0ABC9,P0AFT8
P77802,P0AFT8
P02932,P0AFT8
Q47151,P0AFT8
P63224,P0AFT8
Q47146,P0AFT8
P0A8U2,P0AFT8
P63228,P0AFT8
P37056,P0AFT8
P40710,P0AFT8
P10441,P0AFT8
P0AEU7,P0AFT8
P45568,P0AFT8
P07821,P0AFT8
P33129,P0AFT8
P31057,P0AFT8
P31663,P0AFT8
P0A790,P0AFT8
P31666,P0AFT8
P10408,P0AFT8
P0A725,P0AFT8
P0A9A6,P0AFT8
P0ABH0,P0AFT8
P14900,P0AFT8
P22188,P0AFT8
P0AEN4,P0AFT8
P31554,P0AFT8
P31679,P0AFT8
P31552,P0AFT8
P39206,P0AFT8
P62623,P0AFT8
P0ADC6,P0ADB7
P0AAE0,P0ADB7
P39295,P0ADB7
P22634,P0ADB7
P21151,P0ADB7
P27833,P0ADB7
P17169,P0ADB7
P27128,P0ADB7
P67910,P0ADB7
P10121,P0ADB7
P02918,P0ADB7
P24182,P0ADB7
P60932,P0ADB7
P02930,P0ADB7
P62617,P0ADB7
P0ADA3,P0ADB7
P0AGD7,P0ADB7
P24224,P0ADB7
P0C0T5,P0ADB7
P0ACC9,P0ADB7
P71237,P0ADB7
P32056,P0ADB7
P24175,P0ADB7
P37747,P0ADB7
P37751,P0ADB7
P07363,P0ADB7
P77308,P0ADB7
P0A924,P0ADB7
P0C960,P0ADB7
P0ADC3,P0ADB7
P75920,P0ADB7
P04951,P0ADB7
P09147,P0ADB7
P0ADC1,P0ADB7
P10100,P0ADB7
P77712,P0ADB7
P10441,P0ADB7
P39398,P0ADB4
P39386,P0ADB4
P39381,P0ADB4
P69856,P0ADB4
P15030,P0ADB4
P39321,P0ADB4
P0AAE0,P0ADB4
P32716,P0ADB4
P32703,P0ADB4
P0AF52,P0ADB4
P0A6B4,P0ADB4
P22634,P0ADB4
P76773,P0ADB4
P0A6P7,P0ADB4
P21177,P0ADB4
P21151,P0ADB4
P69428,P0ADB4
P07000,P0ADB4
P0A921,P0ADB4
P0AAA7,P0ADB4
P27833,P0ADB4
P0AG00,P0ADB4
P17169,P0ADB4
P26218,P0ADB4
P31466,P0ADB4
P0AG24,P0ADB4
P27128,P0ADB4
P27243,P0ADB4
P67910,P0ADB4
P25666,P0ADB4
P0AFV0,P0ADB4
P16916,P0ADB4
P37681,P0ADB4
P37663,P0ADB4
P0AAG0,P0ADB4
P0ADJ3,P0ADB4
P37643,P0ADB4
P28911,P0ADB4
P10906,P0ADB4
P13656,P0ADB4
P45762,P0ADB4
P41443,P0ADB4
P45756,P0ADB4
P16256,P0ADB4
P24182,P0ADB4
P0A9X4,P0ADB4
P0A761,P0ADB4
P45420,P0ADB4
P0ADV9,P0ADB4
P45395,P0ADB4
P24228,P0ADB4
P64596,P0ADB4
P26647,P0ADB4
P65298,P0ADB4
Q46836,P0ADB4
P0C0S1,P0ADB4
Q46817,P0ADB4
P39196,P0ADB4
P62617,P0ADB4
P13445,P0ADB4
Q46892,P0ADB4
P17115,P0ADB4
P52143,P0ADB4
P0A937,P0ADB4
P07021,P0ADB4
P24224,P0ADB4
P76578,P0ADB4
P76577,P0ADB4
P62620,P0ADB4
P77774,P0ADB4
P36548,P0ADB4
P39836,P0ADB4
P67729,P0ADB4
P0AA49,P0ADB4
P52599,P0ADB4
P77293,P0ADB4
P77549,P0ADB4
P39263,P0ADB4
P76474,P0ADB4
P77398,P0ADB4
P77215,P0ADB4
P33941,P0ADB4
P0A9I5,P0ADB4
P28246,P0ADB4
P17315,P0ADB4
P25747,P0ADB4
P33341,P0ADB4
P38097,P0ADB4
P0A930,P0ADB4
P77414,P0ADB4
P0ACC9,P0ADB4
P71239,P0ADB4
P0ACD2,P0ADB4
P32055,P0ADB4
P32056,P0ADB4
P24174,P0ADB4
P24175,P0ADB4
P71241,P0ADB4
P71244,P0ADB4
P37760,P0ADB4
P37744,P0ADB4
P37745,P0ADB4
P37751,P0ADB4
P76372,P0ADB4
P33013,P0ADB4
P07018,P0ADB4
P07330,P0ADB4
P05041,P0ADB4
P0AA91,P0ADB4
P38055,P0ADB4
P0AE60,P0ADB4
P77529,P0ADB4
P06611,P0ADB4
P38135,P0ADB4
P76198,P0ADB4
P37340,P0ADB4
P77389,P0ADB4
P76190,P0ADB4
P0A905,P0ADB4
Q47706,P0ADB4
P0AAE5,P0ADB4
P69212,P0ADB4
P31122,P0ADB4
P76137,P0ADB4
P31826,P0ADB4
P31827,P0ADB4
P77790,P0ADB4
P76115,P0ADB4
P76103,P0ADB4
P77467,P0ADB4
P76078,P0ADB4
P0ADA7,P0ADB4
P39165,P0ADB4
P62615,P0ADB4
P76017,P0ADB4
P18196,P0ADB4
P75948,P0ADB4
P16869,P0ADB4
P69367,P0ADB4
P0ACV0,P0ADB4
P0AB31,P0ADB4
P75920,P0ADB4
P0AE98,P0ADB4
P26459,P0ADB4
P02931,P0ADB4
P75831,P0ADB4
P75809,P0ADB4
P0AEY8,P0ADB4
P75806,P0ADB4
P75804,P0ADB4
P75788,P0ADB4
P0A917,P0ADB4
P75780,P0ADB4
P75777,P0ADB4
P0A912,P0ADB4
P75728,P0ADB4
P0AD65,P0ADB4
P77202,P0ADB4
P23877,P0ADB4
P26266,P0ADB4
P11454,P0ADB4
P38054,P0ADB4
P31600,P0ADB4
P75712,P0ADB4
P77759,P0ADB4
P0AE06,P0ADB4
P0ADY1,P0ADB4
P77488,P0ADB4
P0A6J8,P0ADB4
P0A722,P0ADB4
P0A940,P0ADB4
P0A790,P0ADB4
P31666,P0ADB4
P36646,P0ADB4
P0A725,P0ADB4
P14900,P0ADB4
P31679,P0ADB4
P39206,P0ADB4
P62623,P0ADB4
P0ADN6,P56976
P0AFT8,P56976
P0ADB4,P56976
P0AFH8,P56976
P18390,P56976
P39398,P56976
P39396,P56976
P39386,P56976
P39381,P56976
P69856,P56976
P39357,P56976
P15028,P56976
P15029,P56976
P15031,P56976
P39352,P56976
P0ADC6,P56976
P0AF96,P56976
P0ADE4,P56976
P39314,P56976
P0AAE0,P56976
P39310,P56976
P39295,P56976
P0ABC3,P56976
P25519,P56976
P26365,P56976
P39282,P56976
P00363,P56976
P0AC47,P56976
P0A8Q0,P56976
P0A8Q3,P56976
P00811,P56976
P69937,P56976
P39276,P56976
P30845,P56976
P0AF52,P56976
P0ABN1,P56976
P32687,P56976
P32681,P56976
P06709,P56976
P22634,P56976
P06282,P56976
P32137,P56976
P32135,P56976
P21177,P56976
P21151,P56976
P07000,P56976
P0A921,P56976
P0AAA7,P56976
P27833,P56976
P61887,P56976
P0AG00,P56976
P0AC78,P56976
P0AA25,P56976
P0ACC7,P56976
P17169,P56976
P26218,P56976
P31466,P56976
P31462,P56976
P25714,P56976
P31448,P56976
P31440,P56976
P0AG24,P56976
P0A6I6,P56976
P0AC75,P56976
P25742,P56976
P25740,P56976
P25741,P56976
P27126,P56976
P27128,P56976
P67910,P56976
P25666,P56976
P0AFV0,P56976
P16916,P56976
P09053,P56976
P37662,P56976
P0AEF8,P56976
P0AEG1,P56976
P0AAG0,P56976
P37643,P56976
P37626,P56976
P37621,P56976
P0AEE1,P56976
P0AG80,P56976
P10906,P56976
P10907,P56976
P18956,P56976
P67143,P56976
P0A6U8,P56976
P45804,P56976
P02918,P56976
P45546,P56976
P13656,P56976
P25960,P56976
P36678,P56976
P45763,P56976
P45756,P56976
P0ADZ0,P56976
P16256,P56976
P16926,P56976
P0ADW3,P56976
P0A761,P56976
P45425,P56976
P45420,P56976
P46022,P56976
P0ADV9,P56976
P45395,P56976
P0A7L8,P56976
P24228,P56976
P64596,P56976
P42907,P56976
P42628,P56976
P42591,P56976
P76655,P56976
P02930,P56976
P26647,P56976
P0ABU7,P56976
Q46836,P56976
Q46817,P56976
Q46798,P56976
P63340,P56976
P39196,P56976
P0A935,P56976
P77031,P56976
P13445,P56976
Q46892,P56976
P0AGD7,P56976
P07021,P56976
P33644,P56976
P60785,P56976
P24224,P56976
P76578,P56976
P77774,P56976
P24177,P56976
P36548,P56976
P77173,P56976
P39836,P56976
P45564,P56976
P67729,P56976
P0AA93,P56976
O32528,P56976
P52599,P56976
P52600,P56976
P76507,P56976
P77293,P56976
P77682,P56976
P76506,P56976
P0C0T5,P56976
P77549,P56976
P39263,P56976
P76473,P56976
P77690,P56976
P77215,P56976
P09394,P56976
P45508,P56976
P06996,P56976
P33941,P56976
P0A9I5,P56976
P28246,P56976
P33030,P56976
P0A6T5,P56976
P0AD14,P56976
P33341,P56976
P36554,P56976
P76398,P56976
P76397,P56976
P38097,P56976
P0A930,P56976
P76387,P56976
P77414,P56976
P0ACC9,P56976
P71237,P56976
P71238,P56976
P71239,P56976
P32055,P56976
P24174,P56976
P77377,P56976
P71243,P56976
P71244,P56976
P37760,P56976
P37744,P56976
P37751,P56976
P76373,P56976
P0AA47,P56976
P33013,P56976
P07017,P56976
P07330,P56976
P0AE67,P56976
P0A9H9,P56976
P0AFS9,P56976
P24205,P56976
P76269,P56976
P05041,P56976
P0AA91,P56976
P69451,P56976
P0ABD1,P56976
P0A908,P56976
P38055,P56976
P0AE60,P56976
P77529,P56976
P06609,P56976
P06611,P56976
P23898,P56976
P76198,P56976
P76197,P56976
P37340,P56976
P37597,P56976
P77389,P56976
P69212,P56976
P43531,P56976
P77228,P56976
P31122,P56976
P32051,P56976
P76137,P56976
P31826,P56976
P64426,P56976
P77622,P56976
P0C0L2,P56976
P24211,P56976
P76115,P56976
P76103,P56976
P76083,P56976
P77467,P56976
P76080,P56976
P76078,P56976
P76077,P56976
P64448,P56976
P77747,P56976
P77348,P56976
P0A862,P56976
P76045,P56976
Q47622,P56976
P0AGH3,P56976
P0AAH4,P56976
P0A924,P56976
P0A6H8,P56976
P77737,P56976
P23843,P56976
P0AFR0,P56976
P62615,P56976
P13482,P56976
P76010,P56976
P76008,P56976
P75957,P56976
P0ADC3,P56976
P75948,P56976
P0AB38,P56976
P75946,P56976
P28306,P56976
P0AAI5,P56976
P0AAI9,P56976
P0AB31,P56976
P62517,P56976
P33136,P56976
P75920,P56976
P0AE98,P56976
P69434,P56976
P75882,P56976
P38134,P56976
P26458,P56976
P26459,P56976
P02931,P56976
P22523,P56976
P04951,P56976
P27300,P56976
P37443,P56976
P21503,P56976
P75831,P56976
P75810,P56976
P75809,P56976
P0AEY8,P56976
P75804,P56976
P75792,P56976
P75788,P56976
P0A917,P56976
P75783,P56976
P75780,P56976
P75777,P56976
P0AA84,P56976
P09147,P56976
P45955,P56976
P0ABV6,P56976
P75750,P56976
P75742,P56976
P77779,P56976
P0ADC1,P56976
P0AD65,P56976
P10100,P56976
P0A8J4,P56976
P77202,P56976
P0AEJ2,P56976
P23877,P56976
P23878,P56976
P26266,P56976
P11454,P56976
P13039,P56976
P38054,P56976
P77239,P56976
P77214,P56976
P31600,P56976
P09169,P56976
P77468,P56976
P43341,P56976
P75712,P56976
P77759,P56976
P77400,P56976
P0AAG5,P56976
P77265,P56976
P77712,P56976
P0AE16,P56976
P77726,P56976
P0AG90,P56976
P0ADZ7,P56976
P0AD70,P56976
Q47536,P56976
Q47534,P56976
P77802,P56976
P02932,P56976
Q47151,P56976
P63224,P56976
Q47146,P56976
P0A8U2,P56976
P63228,P56976
P0A722,P56976
P0A6Q6,P56976
P21645,P56976
P60472,P56976
P06971,P56976
P33129,P56976
P31057,P56976
P31666,P56976
P13016,P56976
P0A725,P56976
P0A9A6,P56976
P14900,P56976
P22188,P56976
P0ABQ4,P56976
P31553,P56976
P39206,P56976
P62623,P56976
P00804,P56976
P0AFH8,P56258
P39398,P56258
P31697,P56258
P69856,P56258
P0AF96,P56258
P39321,P56258
P33224,P56258
P25519,P56258
P39285,P56258
P39282,P56258
P0A901,P56258
P69937,P56258
P39276,P56258
P0AF52,P56258
P32687,P56258
P06282,P56258
P32137,P56258
P0A6P7,P56258
P31442,P56258
P31440,P56258
P25740,P56258
P27128,P56258
P27129,P56258
P27243,P56258
P25666,P56258
P11290,P56258
P0AFV0,P56258
P37663,P56258
P37660,P56258
P37643,P56258
P10907,P56258
P45537,P56258
P45756,P56258
P0ADZ0,P56258
P0AGA2,P56258
P0A9X4,P56258
P45425,P56258
P0ADV1,P56258
P0ADV9,P56258
P45395,P56258
P0AAD2,P56258
P42915,P56258
P42907,P56258
P15373,P56258
P76655,P56258
P52060,P56258
P63340,P56258
P0AGD7,P56258
P60785,P56258
P52599,P56258
P77549,P56258
P76474,P56258
P76473,P56258
P06996,P56258
P0A9I5,P56258
P33924,P56258
P25747,P56258
P0AD14,P56258
P36554,P56258
P37750,P56258
P37751,P56258
P0AA47,P56258
P07018,P56258
P0AFS9,P56258
P0AA91,P56258
P0ABD1,P56258
P76198,P56258
P76197,P56258
P77389,P56258
P76185,P56258
P28224,P56258
Q47706,P56258
P43531,P56258
P31122,P56258
P76137,P56258
P77790,P56258
P0C0L2,P56258
P76083,P56258
P76078,P56258
P77455,P56258
P76045,P56258
P0AAH4,P56258
P0A924,P56258
P61320,P56258
P62615,P56258
P13482,P56258
P76008,P56258
P75958,P56258
P0A6A8,P56258
P0AAI9,P56258
P75942,P56258
P75905,P56258
P0AEY8,P56258
P0A855,P56258
P0ABV6,P56258
P77779,P56258
P75733,P56258
P0ADC1,P56258
P10100,P56258
P0A8J4,P56258
P15047,P56258
P31600,P56258
P43341,P56258
P77328,P56258
P0AAG5,P56258
P77488,P56258
P0AD70,P56258
P77802,P56258
P0A940,P56258
P31663,P56258
P14900,P56258
P0AEN4,P56258
P31554,P56258
P31679,P56258
P62623,P56258
P02942,P0AGC3
P30130,P0AGC3
P69856,P0AGC3
P13036,P0AGC3
P39352,P0AGC3
P0ADC6,P0AGC3
P39321,P0AGC3
P39314,P0AGC3
P25519,P0AGC3
P39285,P0AGC3
P69937,P0AGC3
P0AF52,P0AGC3
P32687,P0AGC3
P69428,P0AGC3
P0A921,P0AGC3
P0ACC7,P0AGC3
P17169,P0AGC3
P26218,P0AGC3
P31448,P0AGC3
P0AG24,P0AGC3
P0A6I6,P0AGC3
P25741,P0AGC3
P67910,P0AGC3
P0AFV0,P0AGC3
P37643,P0AGC3
P10907,P0AGC3
P67143,P0AGC3
P45546,P0AGC3
P13656,P0AGC3
P45762,P0AGC3
P45756,P0AGC3
P0ADZ0,P0AGC3
P0AGA2,P0AGC3
P16256,P0AGC3
P24182,P0AGC3
P0A9X4,P0AGC3
P16926,P0AGC3
P45425,P0AGC3
P42907,P0AGC3
P20083,P0AGC3
P52060,P0AGC3
Q46909,P0AGC3
Q46893,P0AGC3
P41052,P0AGC3
P24224,P0AGC3
P65290,P0AGC3
P77173,P0AGC3
P67729,P0AGC3
P77682,P0AGC3
P10384,P0AGC3
P77549,P0AGC3
P0AFU2,P0AGC3
P76473,P0AGC3
P77215,P0AGC3
P33924,P0AGC3
P36554,P0AGC3
P76397,P0AGC3
P38097,P0AGC3
P28249,P0AGC3
P0A930,P0AGC3
P71237,P0AGC3
P0ACD2,P0AGC3
P24175,P0AGC3
P77377,P0AGC3
P71244,P0AGC3
P37745,P0AGC3
P37746,P0AGC3
P37751,P0AGC3
P76373,P0AGC3
P0AA47,P0AGC3
P07018,P0AGC3
P0AFS9,P0AGC3
Q47706,P0AGC3
P32051,P0AGC3
P76137,P0AGC3
P31826,P0AGC3
P0C0L2,P0AGC3
P76103,P0AGC3
P76083,P0AGC3
P77467,P0AGC3
P64448,P0AGC3
Q47622,P0AGC3
P0AAH4,P0AGC3
P23843,P0AGC3
P0AB38,P0AGC3
P16869,P0AGC3
P28305,P0AGC3
P0A6A8,P0AGC3
P75942,P0AGC3
P75933,P0AGC3
P0AB26,P0AGC3
P0AB31,P0AGC3
P26458,P0AGC3
P0AFZ5,P0AGC3
P37443,P0AGC3
P21503,P0AGC3
P0AEY8,P0AGC3
P45955,P0AGC3
P0ABV6,P0AGC3
P0AD65,P0AGC3
P23878,P0AGC3
P11454,P0AGC3
P05825,P0AGC3
P38054,P0AGC3
P77759,P0AGC3
P77265,P0AGC3
P63224,P0AGC3
P31663,P0AGC3
P0ABH0,P0AGC3
P14900,P0AGC3
P39381,P18390
P15030,P18390
P39321,P18390
P39314,P18390
P33224,P18390
P26365,P18390
P39285,P18390
P39282,P18390
P69937,P18390
P30845,P18390
P32714,P18390
P32703,P18390
P32687,P18390
P76773,P18390
P32135,P18390
P0A6P7,P18390
P69425,P18390
P07000,P18390
P0A921,P18390
P27833,P18390
P27832,P18390
P27828,P18390
P31474,P18390
P17169,P18390
P31466,P18390
P31462,P18390
P0AG24,P18390
P25740,P18390
P37692,P18390
P25666,P18390
P37662,P18390
P23847,P18390
P0AAG0,P18390
P0ADJ3,P18390
P37643,P18390
P37636,P18390
P36837,P18390
P28911,P18390
P37623,P18390
P0AG80,P18390
P10906,P18390
P18956,P18390
P67143,P18390
P02918,P18390
P36678,P18390
P45762,P18390
P41443,P18390
P0ADZ0,P18390
P24182,P18390
P16926,P18390
P45420,P18390
P0ADV1,P18390
P45395,P18390
P0AG48,P18390
P42907,P18390
P42591,P18390
P0C0S1,P18390
