A,B
P23867,P23867
P12282,P12282
P0A9H9,P0A9H9
P23872,P23872
P05055,P21513
P02914,P02914
P06611,P06611
P0A8V6,P0A8V6
P23367,P23367
P23367,P23909
P23909,P06722
P23909,P03018
P31224,P31223
P19934,P05829
P0ABU9,P19934
P18783,P18783
P18784,P18784
P38489,P38489
P17117,P17117
P12282,P30748
P30748,P30749
P0A738,P0A738
P28694,P28694
P00478,P00478
P39330,P39330
P03017,P0ABR1
P06609,P06611
P36673,P36673
P38504,P38504
P46883,P46883
P77791,P77791
P04968,P04968
P0A9P4,P0A9P4
P00859,P00831
P0A6A3,P0A6A3
P02392,P02392
P00579,P00577
P00574,P00574
P00574,P00577
P08866,P08866
P07364,P07017
P22538,P22538
P00577,P08374
P08374,P00574
P0A9H9,P07363
P46003,P46003
P37309,P37309
P09147,P09147
P04425,P04425
P08338,P08338
P69428,P69428
O69415,O69415
P03017,P33596
P0AG74,P0AG74
P06999,P06999
P06998,P06998
P02342,P02342
P02342,P02341
P02341,P02341
P0AFB8,P0AFB8
P05704,P05704
P05826,P05826
P38504,P05826
P05826,P0AFB5
P06971,P06971
P30014,P30014
P68699,P68699
P75832,P15716
P19245,P15716
P15716,P15716
P33138,P33138
P19245,P33138
P00935,P00935
P0AF12,P0AF12
P02934,P07176
P06993,P23256
Q47112,Q03708
P09883,P13479
P00646,P02984
P0A6T5,P0A6T5
P06616,P33646
P33646,P33646
P0A6L4,P0A6L4
P11604,P11604
P42908,P42908
P16921,P03002
P03003,P00574
P00575,P03003
P03003,P00577
P07912,P07912
Q47454,Q47454
P61714,P61714
P23895,P23895
P19494,P19494
P37344,P37344
P27299,P27299
P00805,P00805
P00891,P00891
P13458,P0AG76
P00642,P00642
P07001,P07001
P08203,P08203
P31217,P31217
P04391,P04391
P09546,P09546
P00363,P0AC47
P0AC47,P03805
P0A8Q3,P03805
P0AC47,P0A8Q3
P00363,P03805
P0A8Q3,P0A8Q3
P19624,P19624
P37353,P37353
P0A9D2,P0A9D2
P28694,P12281
P32173,P12281
P32125,P12281
P42501,P42501
P23367,P06722
P07014,P69054
P07014,P0AC44
P0AC44,P0AC44
P10486,P10484
P10485,P10486
P07650,P07650
P00963,P00963
P0AB67,P0AB67
P0A9E0,P0A9E0
P26607,P07027
P23890,P23890
P04079,P04079
P28305,P28305
P05020,P05020
P0CF10,P0CF10
P00859,P00859
P0AC44,P69054
P03023,P03023
P15039,P15039
P15282,P15282
P11648,P11648
P25521,P25521
P27857,O69415
P08690,P08690
P08690,P08691
P10413,P10413
P0A784,P0A784
P23484,P00577
P13458,P13458
P0AG76,P0AG76
P0AFM6,P37344
P32125,P28694
P32173,P32125
P32125,P32125
P11351,P09152
P0A7Z0,P0A7Z0
P10902,P10902
P06709,P06709
P08837,P08837
P02920,P08837
P00550,P00550
P05053,P05053
P0A6A3,P08839
P12758,P12758
P00888,P00888
P05707,P05707
P08936,P08936
P07375,P07376
P07376,P07376
P03017,P07376
P07376,P02339
P07375,P02339
P80645,P80645
P80644,P80644
P37610,P37610
P00832,P68699
P00859,P68699
P00855,P00859
P00824,P00855
P00859,P00824
P00822,P00859
P00822,P00822
P08622,P00580
P00580,P04475
P08622,P04475
P06137,P04286
P06136,P06136
P10408,P16920
P03856,P03856
P06710,P00583
P20083,P20082
P27187,P18033
P02374,P07012
P30017,P30017
P13031,P13031
P10026,P10026
P02392,P02374
P03018,P03018
P24239,P24239
P06138,P18196
P18198,P18197
P09372,P08622
P09372,P00580
P02916,P07622
P38504,P0AFB5
P0AFB5,P0AFB8
P0AFB5,P04422
P0AFB5,P0AFB5
P77214,P77239
P77214,P77211
P06129,P06129
P0AFX4,P00579
P0ACH8,P00579
P0ACH8,P00574
P00574,P00579
P0ABL5,P33934
P06138,P46889
P22187,P06136
P29131,P06136
P04286,P06136
P16457,P06136
P46889,P06136
P16457,P22187
P22187,P46889
P29131,P04286
P16457,P29131
P04286,P04286
P16457,P04286
P46889,P04286
P77173,P77173
P06137,P77173
P20082,P36658
P24255,P00575
P31804,P00575
P24255,P00577
P24255,P00574
P31804,P00574
P24255,P0AFX4
P13445,P0AFX4
P00580,P0AFX4
P31804,P0AFX4
P03007,P10443
P03007,P28689
P05053,P50456
P08837,P05053
P50456,P50456
P28630,P28631
P06710,P06710
P28630,P06710
P28632,P28905
P03052,P03052
P28632,P06710
P28905,P06710
P28630,P28905
P28631,P28905
P28631,P28632
P10443,P06710
P10443,P00583
P10443,P28630
P28630,P00583
P0AFX4,P00575
P77071,P00574
P77071,P00575
P00579,P77071
P13685,P13685
P13685,P25521
P05055,P13685
P25521,P05055
P06613,P06613
P0A9E2,P00574
P20082,P46889
P46889,P20083
P22995,P22995
P20083,P20083
P20082,P20082
P45803,P45803
P50466,P50466
P17802,P17802
Q9AJ15,Q47015
Q47015,O50190
Q9AJ15,O50190
P00556,P00556
P11244,P11244
P10443,P28689
P02932,P11457
P00583,P28905
P06993,P02914
P22257,P22257
P02408,P02392
P02392,P02409
P02392,P02387
P0A7V0,P02392
P02392,P0A7W1
P02392,P02359
P02392,P02370
P02390,P02392
P02392,P02418
P02392,P02411
P02392,P02416
P02408,P02409
P02389,P02390
P02435,P02416
P02995,P02392
P02420,P60438
P02410,P02422
P02411,P02420
P02387,P02418
P02410,P60438
P02428,P02418
P02410,P02421
P02427,P02414
P02421,P02422
P02387,P02428
P02426,P02420
P02424,P0A7P5
P02352,P02369
P02379,P02369
P02370,P02375
P02359,P02367
P02369,P02363
P02366,P02379
P02379,P02358
P02379,P02374
P02374,P02358
P02420,P02390
P02419,P02423
P02436,P02427
P02349,P02374
P0A7V0,P02349
P02364,P02349
P02387,P07012
P07012,P02409
P02423,P02435
P02352,P02354
P02352,P0A7W1
P0A7W1,P02354
P02354,P02384
P02384,P0A7W1
P02363,P02420
P0A7W1,P02361
P02352,P0A7V0
P02366,P02999
P02369,P02999
P02375,P02999
P02998,P02995
P0ACE3,P08936
P0ACE3,P30017
P0ACE3,P0ACE3
P30017,P08936
P0A7V0,P02384
P02354,P02420
P02361,P02384
P02361,P02428
P02363,P02435
P02410,P02367
P02367,P02414
P02435,P02367
P02369,P02419
P02436,P02422
P29464,P29464
P39271,P39271
P39271,P0AEC8
P0A9E5,P0A9E5
P03026,P03026
P0A8S9,P0A8S9
P0ABY7,P0A8S9
P71295,P71295
P0A7E5,P0A7E5
P02419,P02420
P18196,P09557
P00577,P31804
P0AGB6,P0AFX4
P28632,P28630
P02392,P02389
P02424,P02429
P07012,P02358
P02999,P02359
P10026,P09130
P00574,P06613
P07012,P02373
P0AEZ1,P0AEZ1
P0ABR9,P0ABR9
P06710,P0ACB0
P77319,P00579
P00579,P00579
P00579,P00575
P00577,P0AFX4
P00574,P0AFX4
P0AFX4,P08374
P00575,P08374
P08374,P00579
P77071,P77071
P20083,P22995
P00579,P09377
P29209,P29209
P29210,P29210
P31658,P31658
P11457,P11457
P11457,P02934
P02934,P10408
P02369,P02375
P02367,P02998
P02374,P02998
P02995,P02369
P08936,P76179
P76179,P30017
P29131,P29131
P07006,P13031
P06710,P28631
P07294,P07294
P32159,P32159
P00583,P03007
P02436,P02384
P02416,P02430
P02995,P02999
P02422,P02367
P00579,P06134
P25537,P25537
P02392,P07012
P02354,P02361
P24182,P00583
P0A6F5,P75990
P76086,P0A9P0
P76086,P02423
P02352,P76195
P0AFG8,P76257
P76558,P76558
P02901,P21774
P76503,P77399
P30750,Q57083
P30750,P71237
P30750,P23842
P30750,P37640
P08193,P30867
P30867,P04475
P0A9F1,P30750
P30750,P06982
P16433,P30750
P30750,P39353
P30867,P02995
P14825,P30867
P60438,P30867
P30867,P02419
P02424,P30867
P24182,P30867
P02905,P24182
P08193,P24182
P16703,P24182
P04475,P08193
P15288,P08193
P08193,P36938
P08193,P27128
P02422,P08193
P08193,P02423
P76398,P08193
P31119,P02901
P02901,P30867
P02901,P0AFG8
P06959,P02901
P02901,P33224
P0AB65,P02901
P02901,Q47718
P14926,P02901
P02901,P24249
P02901,P17114
P02901,P02341
P0A9P0,P02901
P21645,P02901
P06993,P02901
P22523,P02901
P02901,P00482
P02901,P08391
P02901,P02413
P02428,P02901
P02358,P02901
P02901,P02359
P02901,P02361
P02901,P02369
P02901,P08999
P17547,P0A7V0
P00577,P05082
P17963,P33224
P33224,P02410
P02375,P33224
P28629,P28692
P28629,P77187
P75743,P28629
P77806,P05082
P33224,P33224
P06959,P33224
P33224,P04475
P0A6F5,P33224
P33224,P02384
P33224,P60438
P02420,P33224
P02422,P33224
P02423,P33224
P02428,P33224
P33224,P0A7V0
P02354,P33224
P02359,P33224
P33224,P02367
P02370,P33224
P02378,P33224
P33224,P42550
P04475,P00957
P0A7V0,P00957
P0CE47,P00957
P06959,P04395
P31064,P15770
P30858,P28688
P30858,P06612
P30858,P06967
P04422,P04475
P04422,P10408
P21889,P0A8M0
P09832,P21889
P00837,P02424
P02392,P75874
P76028,P06959
P38038,P75863
P0AFG8,P75990
P06959,P75990
P75990,P0A9P0
P02392,P75990
P75990,P33633
P76015,P76015
P15344,P76015
P76015,P37624
P07682,P76028
P76028,P02416
P76049,P0AFG8
P0AFG8,P77302
P77302,P06959
P0A9P0,P77302
P0CE47,P77302
P77574,P0A9P0
P06959,P76086
P60438,P76086
P02410,P76086
P02413,P76086
P02359,P76086
P76086,P02367
P76170,P0AFG8
P0A9P0,P76170
P52083,P76170
P04951,P76189
P77788,P03813
P77721,P0A9P0
P77704,P77202
P31456,P77704
P76195,P17963
P76195,P37692
P76195,P0A7W1
P17580,P76195
P0AFG8,P76211
P06959,P76211
P76211,P08936
P60438,P76211
P00575,P76211
P00577,P76211
P76211,P00579
P76211,P08374
P76211,P02371
P0A6F5,P76213
P06722,P76217
P77704,P77561
P77704,P02392
P76257,P0CE47
P76351,P06961
P00452,P76351
P76069,P76351
P08622,P71295
P71295,P04475
P71295,P0A6F5
P71295,P77395
P76092,P77398
P0A9P0,P76503
P76503,P17963
P00452,P76558
P77399,P04825
P76503,P02420
P76503,P02422
P76091,P76558
P43329,P76558
P02901,P10408
P75819,P75819
P04475,P77225
P06959,P77399
P24182,P45768
P00957,P00957
P75960,P77376
P65556,P31663
P24182,P04475
P02436,P08193
P02423,P02901
P02358,P33224
P75863,P17846
P02364,P76028
P02421,P76086
P77399,P77293
P76086,P02422
P02901,P39435
P75744,P02901
P02901,P42550
P32148,P02901
P28629,P02387
P02413,P28629
P42908,P02392
P33224,P0A7W1
P75960,P75869
P76028,P0AFG8
P76195,P76092
P00574,P76211
P77398,P77398
P0A7W1,P76503
P76503,P75838
P77439,P0AFG8
P05791,P30750
P02423,P30867
P60438,P24182
P08193,P13518
P28629,P07015
P37163,P33224
P77574,P06959
P76086,P02428
P02359,P76195
P22257,P76195
P06961,P76558
P02901,P17580
P00957,P76160
P75819,P17963
P77399,P0A9P0
P77225,P00583
P15877,Q46925
P36659,P15716
P36659,P0A7W1
P15716,P02410
P15716,P02429
P02422,P03815
P19245,P02408
P19245,P0CE47
P02436,P33138
P15277,P02370
P36996,P24245
P36996,P08622
P36996,P36929
P24245,P60438
P24245,P02379
P36997,P02359
P04475,P25537
P32661,P25537
P15716,P22523
P0A6F5,P19245
P60438,P15277
P36996,P02349
P05055,P36997
P0A7W1,P11876
P00475,P02420
P77333,P76558
P26282,P11989
P77700,P11989
P76092,P77254
P77254,P02387
P02388,P77254
P77254,P02411
P77254,P0A7V0
P77254,P02352
P76578,P02392
P02428,P76578
P76578,P0A7V0
P76578,P0A7W1
P76578,P02364
Q46925,Q46925
P76197,P11989
P0AFA5,P06709
P02422,P06709
P02423,P06709
P06709,P02370
P06709,P45426
P15298,P37316
P15298,P0AC69
P33361,P15298
P15298,P77645
P23892,P0AFG8
P75960,P23892
P23892,P00583
P23892,P52095
P0A9P0,P23892
P23892,P60438
P02389,P23892
P0A7V0,P23892
P23892,P02364
P23892,P10408
P75905,P23892
P02354,P25537
P0A7W1,P25537
P25537,P02371
P36659,P33224
P36659,P03815
P36659,P23304
P36659,P02999
P04384,P36659
P36659,P22523
P05054,P36659
P03002,P36659
P36659,P02387
P60438,P36659
P36659,P02388
P36659,P02389
P02390,P36659
P36659,P02418
P36659,P02392
P02425,P36659
P36659,P02429
P02436,P36659
P36659,P00577
P36659,P02349
P0A7V0,P36659
P36659,P02352
P02354,P36659
P36659,P02359
P02369,P36659
P36659,P02372
P36659,P21507
P77625,P36659
P36659,P30871
P36659,P45531
P39293,P36659
P06961,P09373
P06961,P60438
P06961,P0A7V0
P0AE67,P0AFG8
P06959,P0AE67
P0AE67,P0A9P0
P06977,P0A9H9
P15716,P26607
P04475,P15716
P15716,P14175
P15716,P15254
P15716,P03002
P15716,P16918
P15716,P60438
P02388,P15716
P02408,P15716
P15716,P00575
P15716,P00577
P02349,P15716
P15716,P02358
P02359,P15716
P15716,P02370
P02372,P15716
P02379,P15716
P15716,P30871
P42550,P15716
P03815,P77561
P33930,P03815
P0A8V0,P03815
P30855,P03815
P03815,P37330
P03815,P37005
P69829,P03815
P03815,P60438
P03815,P02410
P03815,P02423
P02429,P03815
P0A7V0,P03815
P03815,P02359
P02361,P03815
P03815,P02364
P03815,P02370
P0AGH5,P03815
P03815,P30139
P03815,P39169
P03815,P45546
P75884,P03815
P19245,P0AFG8
P42912,P19245
P76195,P19245
P76396,P19245
P19245,P04475
P19245,P77202
P19245,P21346
P19245,P09097
P19245,P03819
P08177,P19245
P19245,P04384
P19245,P00550
P19245,P09152
P19245,P19319
P19245,P03017
P17963,P19245
P19245,P03002
P02384,P19245
P19245,P60438
P19245,P02388
P19245,P02389
P19245,P02410
P19245,P02436
P00577,P19245
P0A7V0,P19245
P19245,P02358
P19245,P02359
P19245,P33635
P19245,P37163
P26427,P33138
P15716,P33138
P03815,P33138
P33138,P04475
P33138,P09372
P33138,P04384
P33138,P13519
P33138,P07655
P37759,P33138
P33138,P36540
P02370,P75960
P75960,P02378
P60438,P03020
P02392,P03020
P0A7W1,P03020
P15277,P30867
P00837,P15277
P06961,P15277
P15277,P36995
Q47130,P15277
P15277,P23304
P15277,P77202
P15277,P25521
P15277,P02342
P02341,P15277
P15277,P02384
P02388,P15277
P02392,P15277
P15277,P02419
P15277,P02420
P00574,P15277
P15277,P02352
P02354,P15277
P15277,P0A7W1
P15277,P02359
P02364,P15277
P15277,P75776
P75864,P15277
P37765,P15277
P36995,P25521
P60438,P36995
P36995,P02392
P36995,P02423
P0A7V0,P36995
P36995,P02364
P30867,P36996
P08193,P36996
P36996,P33224
P36996,P23304
P36996,P0ADI4
P25521,P36996
P43329,P36996
P36996,P02342
P02341,P36996
P0A9F9,P36996
P05055,P36996
P77243,P36996
P36996,P09546
P36996,P14374
P05824,P36996
P36996,P27129
P03002,P36996
P02384,P36996
P02387,P36996
P36996,P60438
P36996,P02389
P02418,P36996
P36996,P02410
P02419,P36996
P36996,P02420
P02422,P36996
P02423,P36996
P02424,P36996
P36996,P02425
P36996,P0A7V0
P02352,P36996
P36996,P02354
P0A7W1,P36996
P02358,P36996
P02359,P36996
P02363,P36996
P36996,P02369
P02370,P36996
P02378,P36996
P21499,P36996
P36996,P75864
P36996,P37765
P77334,P36996
P76069,P36996
P33635,P36996
P42550,P36996
P30845,P36996
P24245,P30867
P0AFG8,P24245
P24245,P37314
P24245,P11457
P02342,P24245
P24245,P05055
P24245,P03002
P02384,P24245
P02420,P24245
P02425,P24245
P02349,P24245
P24245,P0A7V0
P02352,P24245
P24245,P02354
P24245,P0A7W1
P24245,P02359
P02364,P24245
P24245,P02369
P21499,P24245
P75864,P24245
P24245,P37765
P24245,P03822
P33635,P24245
P36997,P00583
P17114,P36997
P28691,P36997
P36997,P25521
P36997,P43329
P77329,P36997
P36997,P03002
P36997,P02384
P36997,P02387
P60438,P36997
P36997,P02388
P02420,P36997
P02425,P36997
P02349,P36997
P02354,P36997
P0A7W1,P36997
P36997,P02364
P36997,P02372
P36997,P10408
P36997,P09156
P36997,P21499
P36997,P75864
P36997,P37765
P39271,P36997
P26612,Q47130
Q47130,P02384
P60438,Q47130
P02392,Q47130
Q47130,P02423
Q47130,P0A7V0
Q47130,P0A7W1
P76396,P36654
P13035,P00475
P02363,P25537
P15716,P02389
P02409,P19245
P15277,P76069
P36996,P36837
P00907,P00907
P06709,P02352
P36659,P02423
P07363,P07363
P02422,P15716
P15716,P75826
P20083,P19245
P15277,P00583
P55140,P15277
P25888,P36996
P02364,P36996
P24245,P77308
P24245,P02370
P36997,P02342
P15716,P02427
P36996,P76347
P08401,P36996
P02378,P24245
Q46877,Q46877
P02375,P25537
P02378,P25537
P02379,P25537
P36659,P04475
P36659,P21774
P36659,P02384
P36659,P02420
P02392,P15716
P15716,P02419
P0A7V0,P15716
P02354,P15716
P13458,P15716
P15716,P10408
P15716,P17580
P19245,P02420
P19245,P02422
P19245,P02428
P19245,P02429
P02372,P19245
P02392,P33138
P33138,P02429
P36995,P0AFG8
P36995,P06959
Q46848,P36995
P36997,P36995
P36995,Q47130
P36995,P00583
P36995,P08324
P36995,P00891
P36996,P75966
P24245,P24177
P04422,P24245
P36997,P24245
P23844,P24245
P02387,P24245
P24245,P02410
P00475,P37342
P06959,P11876
P11876,P02384
P11876,P02359
P11876,P02370
P06709,P13033
P08324,P25537
P36659,P36541
P10904,P36659
P02436,P15716
P15716,P02364
P03815,P77694
P19245,P02364
P10408,P19245
P19245,P10904
P03020,P02364
P0A9P0,P36995
P36997,P36996
P36996,P02388
P24245,P23304
P24245,P25397
P36997,P22256
P0AFG8,P00475
P02423,P00475
P02418,P15716
P19245,P02392
P36996,P37634
P02410,Q47130
P25537,P02369
P75960,P02352
P02354,P75960
P00475,P0A9P0
P09156,P00475
P11876,P60438
P02410,P11876
P02422,P11876
P11876,P02423
P11876,P02352
P02378,P11876
P07672,P23844
P76128,P23844
P04475,P23844
P04286,P23844
P07004,P23844
P23844,P30864
P08622,P02995
P08622,P02423
P06986,P04475
P02429,P03007
P06616,P0A7W1
P02349,P29132
P60438,P04742
P11028,P60438
P11028,P02424
P02901,P23304
P02392,P02923
P39336,P77488
P02390,P21774
P00577,P11028
P02418,P23304
P02375,P23304
P23304,P32138
P02352,P03004
P02388,P10443
P23304,P02379
P23304,P02349
P0A7W1,P0ACB0
P10443,P02410
P02422,P10443
P02349,P10443
P10443,P0A7V0
P10443,P02372
P02923,P02384
P15716,P08622
P08622,P09152
P03002,P08622
P02359,P02923
P02923,P33635
P37350,P02923
P08622,P08622
P08622,P0AFG8
P22333,P08622
P08622,P00824
P31554,P08622
P08622,P06993
P04384,P08622
P08622,P13519
P22523,P08622
P07655,P08622
P08622,P03017
P08622,P07008
P08622,P02384
P02408,P08622
P02425,P08622
P08622,P00577
P08622,P0A7V0
P08622,P0A7W1
P02369,P08622
P02370,P08622
P21507,P08622
P33636,P08622
P08622,P0CE47
P08622,P32691
P04475,P0AE22
P04475,P77730
P04475,P77228
P04475,P80063
P04475,P36541
P08177,P04475
P04475,P02418
P04475,P02436
P0A7V0,P04475
Q47622,P04475
P0CE47,P04475
P04475,P42630
P45428,P04475
P24172,P04475
P04475,P32134
P28905,P03007
P03007,P28632
P03007,P08177
P16921,P03007
P03007,P02384
P06710,P16921
P06710,P02392
P03007,P00855
P03007,P76195
P36996,P03007
P06710,P03007
P03007,P15028
P28630,P03007
P03007,P28631
P02410,P03007
P03007,P02420
P03007,P30856
P02339,P03007
P33635,P03007
P07904,P07904
P06710,P15028
P06710,P28689
P06710,P02384
P06710,P02429
P02358,P06710
P06710,P10904
P33635,P06710
P06710,P37163
P24991,P42908
P24991,P41052
P07018,P24991
P24991,P77409
P24991,P75883
P77488,P0AFG8
P17547,P77488
P77488,P15716
P08177,P77488
P07655,P77488
P03017,P77488
P03002,P77488
P04805,P08324
Q46942,P77488
P08324,P77574
P08324,P21774
P0A7W1,P08324
P08324,P77247
P06616,P08177
P0A7V0,P06616
P0CE47,P06616
P38506,P04475
P30867,P18391
P76214,P18391
P18391,P23304
P07019,P18391
P18391,P02342
P04384,P18391
P18391,P02387
P02420,P18391
P02349,P18391
P18391,P0A7V0
P18391,P0A7W1
P18391,P02359
P02363,P18391
P02369,P18391
P18391,P02374
P22257,P18391
P18391,P0CE47
P04475,P39435
P29132,P76573
P75864,P29132
P00962,P21774
P08177,P21774
P21774,P02384
P02387,P21774
P60438,P21774
P21774,P02408
P21774,P02410
P21774,P02420
P21774,P02423
P02349,P21774
P0A7V0,P21774
P21774,P02352
P15716,P07019
P0A7W1,P21774
P02359,P21774
P21774,P0CE47
P04475,P11604
P23243,P11604
P11604,P0A7V0
P0ACR7,P11604
P0AFG8,P32177
P32177,P06959
P0A9P0,P32177
P14825,P32177
P32177,P0A7V0
P0AFG8,P24183
P13024,P24183
P24183,P0CE47
P07019,P17547
P07019,P08177
P07019,P04384
P07019,P02384
P07019,P02388
P07019,P02408
P07019,P02354
P0A7W1,P07019
P02366,P07019
P0CE47,P07019
P04742,P06959
P04742,P02387
P02410,P04742
P02420,P04742
P02422,P04742
P04742,P02423
P02425,P04742
P02428,P04742
P04742,P02352
P02354,P04742
P02359,P04742
P04742,P02372
P04742,P02374
P04742,P02378
P11028,P02410
P02420,P11028
P11028,P02423
P23243,P15716
P0A7V0,P11028
P0A7W1,P11028
P11028,P02364
P11028,P30139
P39311,P0ADI4
P11244,P39311
P77327,P39311
P45523,P76440
P45523,P00907
P45523,P77432
P33224,P23243
P23243,P00583
P23243,P27433
P08177,P23243
P23243,P09550
P39174,P0A6F5
P75767,P39174
P30871,P39174
P00379,P39401
P00379,P16659
P00379,P02410
P46130,P00379
P80645,P00379
P31474,P00379
P08192,P77783
P76111,P00363
P00363,P0CF93
P04475,P0ADI4
P00583,P29132
P0A7W1,P04742
P24285,P24285
P08622,P02358
P77488,P0CE47
P45523,P10378
P02923,P16921
P08622,P02364
P02408,P04475
P24991,P31804
P08324,P04475
P02384,P18391
P02418,P21774
P32177,P39171
P02369,P11028
P51024,P39174
P02423,P03004
P02420,P08622
P02354,P21774
P11028,P02342
P02408,P29132
P02388,P23304
P23304,P02390
P21507,P23304
P23304,P07459
P23304,P75864
P37765,P23304
P23304,P33635
P30871,P23304
P23304,P37634
P02339,P10443
P04790,P10443
P10443,P0CE47
P10443,P77806
P37653,P10443
P28302,P04475
P27896,P04475
P37095,P04475
P16659,P04475
P04475,P02388
P04475,P02390
P02392,P03007
P24991,P37312
P24991,P37181
P24991,P21179
P13519,P77488
P29132,P37163
P15716,P21774
P21774,P07019
P21774,P02389
P07019,P0A7V0
P04742,P02361
P02370,P04742
P04475,P11028
P39311,P21166
